央视,#genre#
CCTV1,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226153/index.m3u8?HlsProfileId=
CCTV1,http://[2409:8087:74d9:21::6]/270000001128/9900000001/index.m3u8
CCTV1,http://[2409:8087:74d9:21::6]/270000001128/9900000501/index.m3u8
CCTV1,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002133/index.m3u8
CCTV1,http://[2409:8087:74F1:0021::0008]/000000001000PLTV/88888888/224/3221226153/index.m3u8?HlsProfileId=
CCTV1,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000501/1.m3u8
CCTV1,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000001/1.m3u8
CCTV1,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002133/1.m3u8
CCTV2,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002135/index.m3u8
CCTV2,http://[2409:8087:74d9:21::6]/270000001128/9900000502/index.m3u8
CCTV2,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002135/1.m3u8
CCTV2,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000502/1.m3u8
CCTV3,http://[2409:8087:74d9:21::6]/270000001128/9900000003/index.m3u8
CCTV3,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000003/1.m3u8
CCTV4,http://[2409:8087:74d9:21::6]/270000001128/9900000503/index.m3u8
CCTV4,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002173/index.m3u8
CCTV4,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000503/1.m3u8
CCTV4,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002173/1.m3u8
CCTV5,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226146/index.m3u8?HlsProfileId=
CCTV5,http://[2409:8087:74d9:21::6]/270000001128/9900000005/index.m3u8
CCTV5,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226365/index.m3u8?HlsProfileId=
CCTV5,http://[2409:8087:74F1:0021::0008]/000000001000PLTV/88888888/224/3221226365/index.m3u8?HlsProfileId=
CCTV5,http://[2409:8087:74F1:0021::0008]/000000001000PLTV/88888888/224/3221226146/index.m3u8?HlsProfileId=
CCTV5,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000005/1.m3u8
CCTV5+,http://[2409:8087:74d9:21::6]/270000001128/9900000507/index.m3u8
CCTV5+,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002139/index.m3u8
CCTV5+,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000507/1.m3u8
CCTV5+,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002139/1.m3u8
CCTV6,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226148/index.m3u8?HlsProfileId=
CCTV6,http://[2409:8087:74d9:21::6]/270000001128/9900000006/index.m3u8
CCTV6,http://[2409:8087:74F1:0021::0008]/000000001000PLTV/88888888/224/3221226148/index.m3u8?HlsProfileId=
CCTV6,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000006/1.m3u8
CCTV7,http://[2409:8087:74d9:21::6]/270000001128/9900000504/index.m3u8
CCTV7,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002141/index.m3u8
CCTV7,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000504/1.m3u8
CCTV7,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002141/1.m3u8
CCTV8,http://[2409:8087:74d9:21::6]/270000001128/9900000008/index.m3u8
CCTV8,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226150/index.m3u8?HlsProfileId=
CCTV8,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000008/1.m3u8
CCTV8,http://[2409:8087:74F1:0021::0008]/000000001000PLTV/88888888/224/3221226150/index.m3u8?HlsProfileId=
CCTV9,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002144/index.m3u8
CCTV9,http://[2409:8087:74d9:21::6]/270000001128/9900000505/index.m3u8
CCTV9,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002144/1.m3u8
CCTV9,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000505/1.m3u8
CCTV10,http://[2409:8087:74d9:21::6]/270000001128/9900000506/index.m3u8
CCTV10,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002146/index.m3u8
CCTV10,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226164/index.m3u8?HlsProfileId=
CCTV10,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002146/1.m3u8
CCTV10,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000506/1.m3u8
CCTV10,http://[2409:8087:74F1:0021::0008]/000000001000PLTV/88888888/224/3221226164/index.m3u8?HlsProfileId=
CCTV11,http://[2409:8087:74d9:21::6]/270000001128/9900000508/index.m3u8
CCTV11,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002177/index.m3u8
CCTV11,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000508/1.m3u8
CCTV11,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002177/1.m3u8
CCTV12,http://[2409:8087:74d9:21::6]/270000001128/9900000509/index.m3u8
CCTV12,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002147/index.m3u8
CCTV12,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002147/1.m3u8
CCTV12,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000509/1.m3u8
CCTV13,http://[2409:8087:74d9:21::6]/270000001128/9900000510/index.m3u8
CCTV13,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002179/index.m3u8
CCTV13,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002179/1.m3u8
CCTV13,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000510/1.m3u8
CCTV14,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002148/index.m3u8
CCTV14,http://[2409:8087:74d9:21::6]/270000001128/9900000511/index.m3u8
CCTV14,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226166/index.m3u8?HlsProfileId=
CCTV14,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000511/1.m3u8
CCTV14,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002148/1.m3u8
CCTV14,http://[2409:8087:74F1:0021::0008]/000000001000PLTV/88888888/224/3221226166/index.m3u8?HlsProfileId=
CCTV15,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002181/index.m3u8
CCTV15,http://[2409:8087:74d9:21::6]/270000001128/9900000512/index.m3u8
CCTV16,http://[2409:8087:74d9:21::6]/270000001128/9900000016/index.m3u8
CCTV15,http://[2409:8087:74F1:0021::0008]:80/270000001322/69900158041111100000002181/1.m3u8
CCTV15,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000512/1.m3u8
CCTV16,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000016/1.m3u8
CCTV17,http://[2409:8087:74d9:21::6]/270000001128/9900000513/index.m3u8
CCTV17,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000513/1.m3u8
CGTN阿语,http://[2409:8087:74d9:21::6]/270000001128/9900000086/index.m3u8
CGTN阿语,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000086/1.m3u8
CGTN俄语,http://[2409:8087:74d9:21::6]/270000001128/9900000085/index.m3u8
CGTN俄语,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000085/1.m3u8
CGTN法语,http://[2409:8087:74d9:21::6]/270000001128/9900000087/index.m3u8
CGTN法语,http://[2409:8087:74F1:0021::0008]:80/270000001128/9900000087/1.m3u8
